#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1202,Chavez Young,669945,669945,sa918963,10601,,MIL,OF,OF,Young,Chavez,Young,Chavez
1203,Jesse Scholtens,669947,669947,19205,11784,*041uv*,CHW,RP,RP,Scholtens,Jesse,Scholtens,Jesse
1204,Mitch White,669952,669952,19225,9953,*041qa*,MIL,RP,RP,White,Mitch,White,Mitch
1205,Nicky Lopez,670032,670032,19339,10301,*041sg*,CHW,2B/SS/ 3B,2B/SS/ 3B,Lopez,Nicky,Lopez,Nicky
1206,Matt Festa,670036,670036,19330,10060,*041tl*,TEX,RP,RP,Festa,Matt,Festa,Matt
1207,Luke Raley,670042,670042,19354,10764,*041ts*,SEA,1B/OF,1B/OF,Raley,Luke,Raley,Luke
1208,Kenny Rosenberg,670046,670046,20009,11452,*0429i*,LAA,SP,SP,Rosenberg,Kenny,Rosenberg,Kenny
1209,Caleb Baragar,670056,670056,19231,11039,,MIN,RP,RP,Baragar,Caleb,Baragar,Caleb
1210,Colin Holderman,670059,670059,22361,11469,*0429k*,PIT,RP,RP,Holderman,Colin,Holderman,Colin
1211,Wyatt Mills,670090,670090,20010,11152,,BOS,RP,RP,Mills,Wyatt,Mills,Wyatt
1212,Trenton Brooks,670092,670092,19384,12095,*0420f*,SF,1B,1B,Brooks,Trenton,Brooks,Trenton
1213,Zack Short,670097,670097,19562,10776,*0420g*,ATL,2B/SS/ 3B,2B/SS/ 3B,Short,Zack,Short,Zack
1214,Bowden Francis,670102,670102,20548,11130,*0421k*,TOR,SP,SP,Francis,Bowden,Francis,Bowden
1215,Adam Oller,670124,670124,20132,11306,,MIA,SP,SP,Oller,Adam,Oller,Adam
1216,Taylor Kohlwey,670128,670128,19212,11827,*0423t*,NYM,OF,OF,Kohlwey,Taylor,Kohlwey,Taylor
1217,Nate Mondou,670148,670148,19563,11580,,SD,2B,2B,Mondou,Nate,Mondou,Nate
1218,Nolan Blackwood,670154,670154,sa874212,10922,*041y9*,MIL,RP,RP,Blackwood,Nolan,Blackwood,Nolan
1219,Miles Mastrobuoni,670156,670156,20017,10956,*041yi*,CHC,3B,2B/3B/ OF,Mastrobuoni,Miles,Mastrobuoni,Miles
1220,Parker Dunshee,670161,670161,20018,10862,,ATL,SP,SP,Dunshee,Parker,Dunshee,Parker
1221,John Schreiber,670167,670167,20020,9986,*041z3*,KC,RP,RP,Schreiber,John,Schreiber,John
1222,Josh Winckowski,670174,670174,22387,11363,*041ze*,BOS,SP,SP,Winckowski,Josh,Winckowski,Josh
1223,Garrett Acton,670183,670183,27583,11759,*05ybh*,TB,RP,RP,Acton,Garrett,Acton,Garrett
1224,Matt Mervis,670223,670223,27845,11582,*05ojj*,CHC,1B,1B,Mervis,Matt,Mervis,Matt
1225,Darius Vines,670241,670241,25928,11647,*05157*,ATL,SP,SP,Vines,Darius,Vines,Darius
1226,Matt Wallner,670242,670242,26466,11576,*04o78*,MIN,OF,OF,Wallner,Matt,Wallner,Matt
1227,Cal Stevenson,670276,670276,22411,10383,*04pug*,PHI,OF,OF,Stevenson,Cal,Stevenson,Cal
1228,David Bednar,670280,670280,19569,10681,*04aqc*,PIT,RP,RP,Bednar,David,Bednar,David
1229,Jake Fishman,670288,670288,20060,11521,,OAK,RP,RP,Fishman,Jake,Fishman,Jake
1230,Rico Garcia,670329,670329,20023,10678,*04rzp*,WSH,RP,RP,Garcia,Rico,Garcia,Rico
1231,Jose Rojas,670351,670351,19331,10794,,PIT,3B,3B/OF,Rojas,Jose,Rojas,Jose
1232,Yordan Alvarez,670541,670541,19556,10367,*04355*,HOU,OF,OF,Alvarez,Yordan,Alvarez,Yordan
1233,Aaron Fossas,670579,670579,,10548,,CIN,RP,RP,Fossas,Aaron,Fossas,Aaron
1234,Isaac Paredes,670623,670623,20036,10218,*04071*,CHC,1B/3B,1B/2B/ 3B,Paredes,Isaac,Paredes,Isaac
1235,Mike Brosseau,670712,670712,19683,10641,*04ylg*,NYM,3B,3B,Brosseau,Mike,Brosseau,Mike
1236,Taylor Walls,670764,670764,22458,10955,*04bpj*,TB,2B/SS/ 3B,2B/SS/ 3B,Walls,Taylor,Walls,Taylor
1237,Darren McCaughan,670766,670766,20038,11241,*04em5*,MIA,RP,RP,McCaughan,Darren,McCaughan,Darren
1238,TJ Friedl,670770,670770,19522,10344,*045gu*,CIN,OF,OF,Friedl,TJ,Friedl,TJ
1239,Logan Gillaspie,670810,670810,22461,11380,*05y17*,SD,RP,RP,Gillaspie,Logan,Gillaspie,Logan
1240,Abrahan Gutierrez,670868,670868,sa3004263,10373,*0440c*,PIT,C,C,Gutierrez,Abrahan,Gutierrez,Abrahan
1241,Livan Soto,670869,670869,22471,10275,*04am3*,BAL,SS,SS,Soto,Livan,Soto,Livan
1242,Yunior Severino,670870,670870,sa3003185,10368,*04ahd*,MIN,3B,3B,Severino,Yunior,Severino,Yunior
1243,Guillermo Zuniga,670871,670871,19588,11737,*04y6o*,LAA,RP,RP,Zuniga,Guillermo,Zuñiga,Guillermo
1244,Johan Oviedo,670912,670912,22487,10892,*04674*,PIT,SP,SP,Oviedo,Johan,Oviedo,Johan
1245,Luis Santana,670919,670919,sa921577,10412,*04j4f*,DET,2B,2B,Santana,Luis,,
1246,Trevor Richards,670950,670950,19309,9951,*04coa*,MIN,RP,RP,Richards,Trevor,Richards,Trevor
1247,Edwin Uceta,670955,670955,20539,11060,*04tji*,TB,RP,RP,Uceta,Edwin,Uceta,Edwin
1248,Adrian Morejon,670970,670970,20039,10123,*043ia*,SD,RP,RP,Morejon,Adrian,Morejon,Adrian
1249,Yohan Ramirez,670990,670990,19444,10796,*04ddz*,BOS,RP,RP,Ramirez,Yohan,Ramírez,Yohan
1250,Ivan Herrera,671056,671056,20599,10220,*04hyc*,STL,C,C,Herrera,Ivan,Herrera,Iván
1251,Buddy Kennedy,671083,671083,22505,10382,*04egt*,PHI,3B,3B,Kennedy,Buddy,Kennedy,Buddy
1252,Andrew Abbott,671096,671096,29911,11802,*05jq2*,CIN,SP,SP,Abbott,Andrew,Abbott,Andrew
1253,Logan Allen,671106,671106,27589,11412,*05jp3*,CLE,SP,SP,Allen,Logan,Allen,Logan
1254,Jake Eder,671109,671109,sa3014917,11238,*05gwt*,CHW,SP,SP,Eder,Jake,Eder,Jake
